player,mat,overs,M,runs,wicket,econ,_0s,_4s,_6s,wide,no_ball
44682,64902,8.0,0,42,1,-99.0,29,5,0,1,0
46592,64902,9.0,0,46,2,-99.0,28,4,0,0,1
45821,64902,10.0,0,52,1,-99.0,30,3,0,2,1
44091,64902,5.0,0,31,1,-99.0,8,0,1,1,0
45789,64902,7.0,0,35,0,-99.0,18,1,0,3,2
46774,64903,10.0,1,35,1,-99.0,40,4,0,0,2
44682,64903,8.0,0,46,0,-99.0,23,4,1,1,0
46592,64903,10.0,1,50,2,-99.0,35,6,0,1,0
45821,64903,8.0,0,26,1,-99.0,30,1,0,0,1
44091,64903,8.0,0,30,0,-99.0,22,0,0,0,0
45789,64903,6.0,1,20,3,-99.0,24,0,0,0,1
46774,64904,9.0,2,22,1,-99.0,44,2,0,0,4
44682,64904,3.0,0,19,1,-99.0,12,4,0,1,0
46592,64904,4.0,0,16,0,-99.0,14,1,0,0,0
45789,64904,6.0,1,20,0,-99.0,23,1,0,0,1
44091,64904,-99.0,0,46,1,-99.0,32,4,0,2,0
45821,64904,9.0,0,36,2,-99.0,34,3,0,2,2
44932,64904,7.0,0,28,1,-99.0,20,0,0,2,0
46774,64905,-99.0,1,24,0,-99.0,31,2,0,0,1
45789,64905,9.0,0,49,0,-99.0,32,7,0,1,0
45821,64905,6.0,0,38,0,-99.0,15,4,0,1,0
46592,64905,8.0,0,39,1,-99.0,26,4,0,0,0
44091,64905,8.0,0,36,0,-99.0,25,2,1,0,0
46750,64905,3.0,0,22,1,-99.0,7,2,0,0,0
44932,64905,5.0,0,24,0,-99.0,14,1,0,0,1
46774,64906,10.0,0,58,2,-99.0,29,4,1,0,2
46592,64906,6.0,1,36,0,-99.0,19,4,0,0,0
45963,64906,7.0,0,31,3,-99.0,23,2,0,1,0
47270,64906,7.0,0,48,1,-99.0,17,3,0,4,0
44091,64906,9.0,1,41,0,-99.0,27,3,0,1,0
45821,64906,6.0,0,42,1,-99.0,14,4,0,2,2
44932,64906,2.0,0,10,0,-99.0,5,1,0,0,0
